from_currency,to_currency,rate_date,rate
EUR,USD,2020-01-01,1.1210
EUR,USD,2020-04-01,1.1150
EUR,USD,2020-07-01,1.1840
EUR,USD,2020-10-01,1.2210
EUR,USD,2021-01-01,1.2140
EUR,USD,2021-04-01,1.1940
EUR,USD,2021-07-01,1.1760
EUR,USD,2021-10-01,1.1330
EUR,USD,2022-01-01,1.1350
EUR,USD,2022-04-01,1.0540
EUR,USD,2022-07-01,0.9970
EUR,USD,2022-10-01,1.0480
EUR,USD,2023-01-01,1.0700
EUR,USD,2023-04-01,1.0900
EUR,USD,2023-07-01,1.1030
EUR,USD,2023-10-01,1.0880
EUR,USD,2024-01-01,1.0980
EUR,USD,2024-04-01,1.0730
EUR,USD,2024-07-01,1.1080
EUR,USD,2024-10-01,1.0480
EUR,USD,2025-01-01,1.0310
EUR,USD,2025-04-01,1.1250
EUR,USD,2025-07-01,1.0950
EUR,USD,2025-10-01,1.0580
EUR,USD,2026-01-01,1.0700
EUR,USD,2026-04-01,1.0700
EUR,USD,2026-07-01,1.0700
EUR,USD,2026-10-01,1.0700
GBP,USD,2020-01-01,1.3060
GBP,USD,2020-04-01,1.2460
GBP,USD,2020-07-01,1.2950
GBP,USD,2020-10-01,1.3430
GBP,USD,2021-01-01,1.3700
GBP,USD,2021-04-01,1.3920
GBP,USD,2021-07-01,1.3810
GBP,USD,2021-10-01,1.3250
GBP,USD,2022-01-01,1.3550
GBP,USD,2022-04-01,1.2510
GBP,USD,2022-07-01,1.1610
GBP,USD,2022-10-01,1.1250
GBP,USD,2023-01-01,1.2100
GBP,USD,2023-04-01,1.2430
GBP,USD,2023-07-01,1.2750
GBP,USD,2023-10-01,1.2690
GBP,USD,2024-01-01,1.2720
GBP,USD,2024-04-01,1.2650
GBP,USD,2024-07-01,1.2840
GBP,USD,2024-10-01,1.2990
GBP,USD,2025-01-01,1.2460
GBP,USD,2025-04-01,1.2740
GBP,USD,2025-07-01,1.3160
GBP,USD,2025-10-01,1.2900
GBP,USD,2026-01-01,1.3000
GBP,USD,2026-04-01,1.3000
GBP,USD,2026-07-01,1.3000
GBP,USD,2026-10-01,1.3000
