date_start,campaign_id,ad_set_id,ad_id,spend,impressions,clicks,reach,inline_link_clicks,actions,action_values
2026-01-01,MC001,AS001,AD001,277.67,50772,419,41252,347,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""134.29""}]"
2026-01-01,MC001,AS001,AD002,347.15,52834,482,40291,331,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""105.74""}]"
2026-01-01,MC004,AS006,AD009,164.3,14095,313,11034,209,"[{""action_type"": ""purchase"", ""value"": ""6""}]","[{""action_type"": ""purchase"", ""value"": ""680.86""}]"
2026-01-01,MC004,AS006,AD010,149.95,9802,255,8410,204,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""613.62""}]"
2026-01-01,MC004,AS007,AD011,169.82,12034,295,9124,200,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""392.65""}]"
2026-01-01,MC007,AS011,AD018,465.69,68012,597,49432,391,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""156.33""}]"
2026-01-02,MC001,AS001,AD001,349.92,49125,397,41398,266,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""147.27""}]"
2026-01-02,MC001,AS001,AD002,348.33,59966,480,52332,391,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""188.24""}]"
2026-01-02,MC004,AS006,AD009,170.35,10679,274,8016,230,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""789.22""}]"
2026-01-02,MC004,AS006,AD010,176.69,13006,329,11141,223,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""531.77""}]"
2026-01-02,MC004,AS007,AD011,169.9,12641,328,9150,248,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""557.78""}]"
2026-01-02,MC007,AS011,AD018,395.23,47824,401,41133,288,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""147.91""}]"
2026-01-03,MC001,AS001,AD001,380.75,60191,447,50152,333,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""116.65""}]"
2026-01-03,MC001,AS001,AD002,341.11,60140,529,45287,427,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""96.07""}]"
2026-01-03,MC004,AS006,AD009,175.63,10851,235,8499,153,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""626.13""}]"
2026-01-03,MC004,AS006,AD010,128.94,8638,254,7524,212,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""723.28""}]"
2026-01-03,MC004,AS007,AD011,152.83,10487,244,7951,190,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""374.32""}]"
2026-01-03,MC007,AS011,AD018,348.09,51428,380,43779,294,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""137.03""}]"
2026-01-04,MC001,AS001,AD001,363.14,69561,415,57528,337,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""133.6""}]"
2026-01-04,MC001,AS001,AD002,321.4,44408,273,33827,230,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""132.35""}]"
2026-01-04,MC004,AS006,AD009,181.91,14538,311,10607,213,"[{""action_type"": ""purchase"", ""value"": ""6""}]","[{""action_type"": ""purchase"", ""value"": ""611.25""}]"
2026-01-04,MC004,AS006,AD010,163.88,12268,263,9168,222,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""764.48""}]"
2026-01-04,MC004,AS007,AD011,173.05,10915,243,8131,158,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""511.02""}]"
2026-01-04,MC007,AS011,AD018,373.18,54616,523,42130,443,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""261.58""}]"
2026-01-05,MC001,AS001,AD001,324.04,49186,342,41869,226,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""113.49""}]"
2026-01-05,MC001,AS001,AD002,382.52,51905,373,38752,251,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""121.12""}]"
2026-01-05,MC004,AS006,AD009,180.33,13259,332,10247,220,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""655.31""}]"
