id,sku,cost,tracked,country_code_of_origin,created_at,updated_at
3000001,OJ-001-MED-BLU,79.38,True,PT,2022-09-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
3000002,BP-001-REG-KHA,49.56,True,PT,2022-09-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
3000010,RW-001,57.55,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000011,RW-002,50.84,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000012,RW-003,27.73,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000013,RW-004,52.97,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000014,RW-005,53.76,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000015,RW-006,35.79,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000016,RW-007,41.61,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000017,RW-008,44.89,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000018,RW-009,35.4,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000019,RW-010,45.58,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000020,RW-011,49.57,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000021,RW-012,54.2,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000022,RW-013,35.36,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000023,RW-014,38.65,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000024,RW-015,44.59,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000025,RW-016,58.32,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000026,RW-017,56.6,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
