inventory_item_id,location_id,available,updated_at
3000001,LOC001,47,2026-01-01T00:00:00+00:00
3000002,LOC001,47,2026-01-01T00:00:00+00:00
3000010,LOC001,80,2026-03-01T00:00:00+00:00
3000011,LOC001,80,2026-03-01T00:00:00+00:00
3000012,LOC001,80,2026-03-01T00:00:00+00:00
3000013,LOC001,80,2026-03-01T00:00:00+00:00
3000014,LOC001,80,2026-03-01T00:00:00+00:00
3000015,LOC001,80,2026-03-01T00:00:00+00:00
3000016,LOC001,80,2026-03-01T00:00:00+00:00
3000017,LOC001,80,2026-03-01T00:00:00+00:00
3000018,LOC001,80,2026-03-01T00:00:00+00:00
3000019,LOC001,80,2026-03-01T00:00:00+00:00
3000020,LOC001,80,2026-03-01T00:00:00+00:00
3000021,LOC001,80,2026-03-01T00:00:00+00:00
3000022,LOC001,80,2026-03-01T00:00:00+00:00
3000023,LOC001,80,2026-03-01T00:00:00+00:00
3000024,LOC001,80,2026-03-01T00:00:00+00:00
3000025,LOC001,80,2026-03-01T00:00:00+00:00
3000026,LOC001,80,2026-03-01T00:00:00+00:00
3000027,LOC001,80,2026-03-01T00:00:00+00:00
3000028,LOC001,140,2026-12-31T23:59:00+00:00
3000029,LOC001,42,2026-12-31T23:59:00+00:00
3000030,LOC001,97,2026-12-31T23:59:00+00:00
3000031,LOC001,135,2026-12-31T23:59:00+00:00
3000032,LOC001,72,2026-12-31T23:59:00+00:00
3000033,LOC001,147,2026-12-31T23:59:00+00:00
3000034,LOC001,147,2026-12-31T23:59:00+00:00
3000035,LOC001,147,2026-12-31T23:59:00+00:00
3000036,LOC001,54,2026-12-31T23:59:00+00:00
3000037,LOC001,47,2026-12-31T23:59:00+00:00
3000038,LOC001,183,2026-12-31T23:59:00+00:00
3000039,LOC001,110,2026-12-31T23:59:00+00:00
3000040,LOC001,52,2026-12-31T23:59:00+00:00
3000041,LOC001,53,2026-12-31T23:59:00+00:00
3000042,LOC001,157,2026-12-31T23:59:00+00:00
3000043,LOC001,163,2026-12-31T23:59:00+00:00
3000044,LOC001,154,2026-12-31T23:59:00+00:00
3000045,LOC001,117,2026-12-31T23:59:00+00:00
3000046,LOC001,97,2026-12-31T23:59:00+00:00
3000047,LOC001,33,2026-12-31T23:59:00+00:00
3000048,LOC001,89,2026-12-31T23:59:00+00:00
3000049,LOC001,162,2026-12-31T23:59:00+00:00
3000050,LOC001,102,2026-12-31T23:59:00+00:00
3000051,LOC001,69,2026-12-31T23:59:00+00:00
3000052,LOC001,67,2026-12-31T23:59:00+00:00
3000053,LOC001,79,2026-12-31T23:59:00+00:00
3000054,LOC001,193,2026-12-31T23:59:00+00:00
3000055,LOC001,24,2026-12-31T23:59:00+00:00
3000056,LOC001,88,2026-12-31T23:59:00+00:00
3000057,LOC001,147,2026-12-31T23:59:00+00:00
3000058,LOC001,50,2026-12-31T23:59:00+00:00
