id,product_id,title,sku,price,compare_at_price,option1,option2,option3,inventory_item_id,inventory_quantity,requires_shipping,taxable,barcode,weight,weight_unit,created_at,updated_at
2000001,1000001,Medium / Blue,OJ-001-MED-BLU,189.0,,Medium,Blue,,3000001,47,True,True,NW10000012000001,0.6,kg,2022-09-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
2000002,1000002,Regular / Khaki,BP-001-REG-KHA,118.0,,Regular,Khaki,,3000002,47,True,True,NW10000022000002,0.6,kg,2022-09-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
2000010,1000010,XS / White,RW-001,143.87,,XS,White,,3000010,80,True,True,NW10000102000010,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000011,1000011,S / Sand,RW-002,127.11,,S,Sand,,3000011,80,True,True,NW10000112000011,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000012,1000012,M / Terracotta,RW-003,69.33,,M,Terracotta,,3000012,80,True,True,NW10000122000012,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000013,1000013,L / Sage,RW-004,132.42,,L,Sage,,3000013,80,True,True,NW10000132000013,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000014,1000014,XL / Navy,RW-005,134.41,,XL,Navy,,3000014,80,True,True,NW10000142000014,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000015,1000015,XS / White,RW-006,89.48,,XS,White,,3000015,80,True,True,NW10000152000015,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000016,1000016,S / Sand,RW-007,104.02,,S,Sand,,3000016,80,True,True,NW10000162000016,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000017,1000017,M / Terracotta,RW-008,112.22,,M,Terracotta,,3000017,80,True,True,NW10000172000017,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000018,1000018,L / Sage,RW-009,88.49,,L,Sage,,3000018,80,True,True,NW10000182000018,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000019,1000019,XL / Navy,RW-010,113.96,,XL,Navy,,3000019,80,True,True,NW10000192000019,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000020,1000020,XS / White,RW-011,123.92,,XS,White,,3000020,80,True,True,NW10000202000020,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000021,1000021,S / Sand,RW-012,135.49,,S,Sand,,3000021,80,True,True,NW10000212000021,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000022,1000022,M / Terracotta,RW-013,88.4,,M,Terracotta,,3000022,80,True,True,NW10000222000022,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
2000023,1000023,L / Sage,RW-014,96.63,,L,Sage,,3000023,80,True,True,NW10000232000023,0.4,kg,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
