id,created,amount,currency,status,livemode,customer
ch_0000000000000001,1767241800,103700,usd,succeeded,True,
ch_0000000000000002,1767259980,22249,usd,succeeded,True,
ch_0000000000000003,1767255000,14303,usd,succeeded,True,
ch_0000000000000004,1767287700,47270,usd,succeeded,True,
ch_0000000000000005,1767301380,6613,usd,succeeded,True,
ch_0000000000000006,1767253200,21062,usd,succeeded,True,
ch_0000000000000007,1767297480,43155,usd,succeeded,True,
ch_0000000000000008,1767248160,72631,usd,succeeded,True,
ch_0000000000000009,1767382860,34380,usd,succeeded,True,
ch_000000000000000a,1767325260,87374,usd,succeeded,True,
ch_000000000000000b,1767357300,27122,usd,succeeded,True,
ch_000000000000000c,1767326040,34570,usd,succeeded,True,
ch_000000000000000d,1767398040,5775,usd,succeeded,True,
ch_000000000000000e,1767343620,58472,usd,succeeded,True,
ch_000000000000000f,1767383940,43761,usd,succeeded,True,
ch_0000000000000010,1767312360,114667,usd,succeeded,True,
ch_0000000000000011,1767321000,61835,usd,succeeded,True,
ch_0000000000000012,1767396900,93525,usd,succeeded,True,
ch_0000000000000013,1767359820,29333,usd,succeeded,True,
ch_0000000000000014,1767384240,54663,usd,succeeded,True,
ch_0000000000000015,1767480240,47599,usd,succeeded,True,
ch_0000000000000016,1767450180,15800,usd,succeeded,True,
ch_0000000000000017,1767413820,172193,usd,succeeded,True,
ch_0000000000000018,1767407040,8672,usd,succeeded,True,
ch_0000000000000019,1767408420,9904,usd,succeeded,True,
ch_000000000000001a,1767421560,65931,usd,succeeded,True,
ch_000000000000001b,1767476400,52024,usd,succeeded,True,
ch_000000000000001c,1767400020,17263,usd,succeeded,True,
ch_000000000000001d,1767454800,29258,usd,succeeded,True,
ch_000000000000001e,1767434520,34482,usd,succeeded,True,
ch_000000000000001f,1767451560,21019,usd,succeeded,True,
ch_0000000000000020,1767554220,82194,usd,succeeded,True,
ch_0000000000000021,1767510000,9527,usd,succeeded,True,
ch_0000000000000022,1767538200,40375,usd,succeeded,True,
ch_0000000000000023,1767546780,7238,usd,succeeded,True,
ch_0000000000000024,1767536820,51420,usd,succeeded,True,
ch_0000000000000025,1767530220,13579,usd,succeeded,True,
ch_0000000000000026,1767550380,137633,usd,succeeded,True,
ch_0000000000000027,1767497280,53235,usd,succeeded,True,
ch_0000000000000028,1767488460,18969,usd,succeeded,True,
ch_0000000000000029,1767495900,41390,usd,succeeded,True,
ch_000000000000002a,1767602160,14680,usd,succeeded,True,
ch_000000000000002b,1767578160,20555,usd,succeeded,True,
ch_000000000000002c,1767613320,54275,usd,succeeded,True,
ch_000000000000002d,1767648060,22963,usd,succeeded,True,
ch_000000000000002e,1767593280,28749,usd,succeeded,True,
ch_000000000000002f,1767652320,40823,usd,succeeded,True,
ch_0000000000000030,1767585180,84238,usd,succeeded,True,
ch_0000000000000031,1767634620,103922,usd,succeeded,True,
ch_0000000000000032,1767573000,9652,usd,succeeded,True,
ch_0000000000000033,1767700560,33820,usd,succeeded,True,
ch_0000000000000034,1767686760,13410,usd,succeeded,True,
ch_0000000000000035,1767739200,8158,usd,succeeded,True,
ch_0000000000000036,1767712260,31643,usd,succeeded,True,
ch_0000000000000037,1767718560,34974,usd,succeeded,True,
ch_0000000000000038,1767713640,28264,usd,succeeded,True,
ch_0000000000000039,1767729660,17995,usd,succeeded,True,
ch_000000000000003a,1767813300,27522,usd,succeeded,True,
ch_000000000000003b,1767778740,50273,usd,succeeded,True,
ch_000000000000003c,1767768360,20488,usd,succeeded,True,
ch_000000000000003d,1767747600,36182,usd,succeeded,True,
ch_000000000000003e,1767774420,84303,usd,succeeded,True,
ch_000000000000003f,1767745500,10779,usd,succeeded,True,
ch_0000000000000040,1767785280,34566,usd,succeeded,True,
ch_0000000000000041,1767808500,10832,usd,succeeded,True,
ch_0000000000000042,1767783600,22195,usd,succeeded,True,
ch_0000000000000043,1767834060,49290,usd,succeeded,True,
ch_0000000000000044,1767852600,22519,usd,succeeded,True,
ch_0000000000000045,1767875640,42400,usd,succeeded,True,
ch_0000000000000046,1767904560,14485,usd,succeeded,True,
ch_0000000000000047,1767858960,18930,usd,succeeded,True,
ch_0000000000000048,1767898320,21843,usd,succeeded,True,
ch_0000000000000049,1767846060,20717,usd,succeeded,True,
ch_000000000000004a,1767852240,95545,usd,succeeded,True,
ch_000000000000004b,1767845580,11121,usd,succeeded,True,
ch_000000000000004c,1767925500,101686,usd,succeeded,True,
ch_000000000000004d,1767970380,36240,usd,succeeded,True,
ch_000000000000004e,1767994620,12552,usd,succeeded,True,
ch_000000000000004f,1767992340,25791,usd,succeeded,True,
ch_0000000000000050,1767974580,20828,usd,succeeded,True,
ch_0000000000000051,1767956520,118425,usd,succeeded,True,
ch_0000000000000052,1767974040,77325,usd,succeeded,True,
ch_0000000000000053,1767926040,20213,usd,succeeded,True,
ch_0000000000000054,1768034160,28988,usd,succeeded,True,
ch_0000000000000055,1768038840,62578,usd,succeeded,True,
ch_0000000000000056,1768018740,6663,usd,succeeded,True,
ch_0000000000000057,1768048860,48868,usd,succeeded,True,
